Received time,Answer seconds,Completion seconds,Service time,Interarrival time
7648,11,32,21,21
7678,10,31,21,30
7687,8,23,15,9
7710,21,88,67,23
7714,11,30,19,4
7715,12,27,15,1
7736,9,88,79,21
7765,8,39,31,29
7773,10,20,10,8
7784,9,26,17,11
7798,10,31,21,14
7822,10,39,29,24
7838,11,34,23,16
7841,9,45,36,3
7876,10,26,16,35
7889,8,41,33,13
7894,21,61,40,5
7897,13,39,26,3
7931,33,84,51,34
7959,9,26,17,23
7966,25,73,48,7
7976,13,58,45,10
8008,9,34,25,32
8028,13,32,19,20
8059,9,44,35,31
8061,10,37,27,2
8076,8,45,37,15
8120,8,35,27,44
8122,19,56,37,2
8126,15,27,12,4
8137,10,33,23,11
8218,14,50,36,49
8236,11,51,40,18
8241,9,66,57,5
8243,14,44,30,2
8321,12,27,15,78
8331,18,72,54,10
8376,8,41,33,45
8390,11,31,20,14
8390,13,60,47,0
8399,10,28,18,9
8414,12,57,45,15
8414,16,83,67,0
8430,11,47,36,16
8433,22,52,30,3
8449,14,41,27,16
8462,13,41,28,13
8483,9,41,32,21
8490,15,54,39,7
8496,9,34,25,6
8527,16,71,55,31
8565,10,79,69,38
8575,11,37,26,10
8597,14,93,79,22
8621,9,33,24,24
8636,9,63,54,15
8642,9,29,20,6
8676,10,31,21,34
8680,12,49,37,4
8712,9,25,16,32
8714,10,50,40,2
8736,11,21,10,22
8737,12,60,48,1
8752,10,68,58,15
8784,9,37,28,32
8788,12,32,20,4
8788,13,96,83,0
8808,13,47,34,20
8842,9,61,52,34
8849,9,29,20,7
8856,9,30,21,7
8866,15,30,15,10
8877,8,24,16,11
8883,8,33,25,6
8895,9,30,21,12
8910,9,30,21,15
8927,10,73,63,17
8931,8,33,25,4
8980,13,39,26,49
8991,15,65,50,11
8998,9,36,27,7
9036,12,35,23,38
9049,10,71,61,13
9049,14,63,49,0
9053,11,36,25,4
9079,9,24,15,15
9097,10,52,42,18
9097,14,48,34,0
9099,16,41,25,2
9114,10,56,46,15
9114,14,95,81,0
9124,11,56,45,10
9133,14,42,28,9
9149,12,112,100,16
9181,27,39,12,32
9191,12,42,30,10
9193,12,35,23,2
9212,8,38,30,19
9236,9,122,113,24
9239,9,56,47,3
9270,11,25,14,31
9301,20,60,40,31
9315,11,77,66,14
9329,14,39,25,14
9342,12,46,34,13
9359,10,43,33,17
9386,9,37,28,27
9411,11,70,59,25
9413,10,49,39,2
9424,13,170,157,11
9428,14,88,74,4
9461,12,134,122,33
9470,23,88,65,9
9482,11,35,24,12
9485,11,43,32,3
9491,20,46,26,6
9512,19,50,31,21
9541,20,49,29,29
9567,10,163,153,26
9571,22,58,36,4
9584,16,39,23,13
9591,10,37,27,7
9594,10,114,104,3
9599,9,23,14,5
9614,14,52,38,15
9621,9,63,54,7
9631,52,86,34,10
9632,8,34,26,1
9663,10,43,33,31
9676,10,26,16,13
9697,13,43,30,21
9704,9,44,35,7
9706,12,27,15,2
9718,9,48,39,12
9725,15,23,8,6
9737,9,34,25,12
9743,12,81,69,6
9747,11,71,60,4
9775,8,98,90,28
9788,12,31,19,13
9791,9,26,17,3
9801,14,42,28,10
9805,16,42,26,4
9817,9,9,0,12
9828,10,39,29,11
9835,13,53,40,7
9871,12,61,49,36
9878,8,37,29,7
9893,9,42,33,15
9900,10,51,41,7
9914,16,52,36,14
9926,9,28,19,12
9926,22,60,38,0
9942,9,86,77,16
9944,15,91,76,0
9953,12,65,53,9
9955,17,34,17,2
9968,11,80,69,13
9974,16,48,32,6
9977,14,37,23,3
9980,11,35,24,3
9995,20,118,98,15
10000,28,51,23,5
10004,35,61,26,4
10010,31,88,57,6
10016,36,66,30,6
10024,43,77,34,8
10029,57,77,20,5
10042,62,100,38,13
10048,62,79,17,1
10055,89,163,74,4
10062,95,124,29,7
10131,27,50,23,69
10133,29,47,18,2
10142,23,64,41,9
10152,15,45,30,10
10191,10,127,117,39
10198,10,56,46,7
10198,16,46,30,0
10226,10,110,100,28
10227,9,30,21,1
10230,29,46,17,3
10271,10,39,29,41
10276,10,59,49,5
